model,treefile,loss,acc
saved_models/dectrees_100_2_mse_erm100000_sgd0.05_epochs10,dectrees_100_2,1.4176428919654428e-13,None
saved_models/dectrees_100_2_class_erm100000_sgd0.05_epochs10,dectrees_100_2,2.6895394176244734e-05,100.0
saved_models/dectrees_100_3_mse_erm100000_sgd0.05_epochs10,dectrees_100_3,2.2343339631333946e-06,None
saved_models/dectrees_100_3_class_erm100000_sgd0.05_epochs10,dectrees_100_3,4.413553886115551e-05,100.0
saved_models/dectrees_100_4_mse_erm100000_sgd0.05_epochs10,dectrees_100_4,3.169366512447596e-05,None
saved_models/dectrees_100_4_class_erm100000_sgd0.05_epochs10,dectrees_100_4,7.858491763472558e-05,100.0
saved_models/dectrees_100_5_mse_erm100000_sgd0.05_epochs10,dectrees_100_5,0.00015133364349603654,None
saved_models/dectrees_100_5_class_erm100000_sgd0.05_epochs10,dectrees_100_5,0.000134759996086359,100.0
saved_models/dectrees_1000_2_mse_erm100000_sgd0.05_epochs10,dectrees_1000_2,4.213514057482826e-09,None
saved_models/dectrees_1000_2_class_erm100000_sgd0.05_epochs10,dectrees_1000_2,2.2176150791347025e-05,100.0
saved_models/dectrees_1000_3_mse_erm100000_sgd0.05_epochs10,dectrees_1000_3,2.1884818375110625e-05,None
saved_models/dectrees_1000_3_class_erm100000_sgd0.05_epochs10,dectrees_1000_3,3.7036661617457864e-05,100.0
saved_models/dectrees_1000_4_mse_erm100000_sgd0.05_epochs10,dectrees_1000_4,0.004032966470718384,None
saved_models/dectrees_1000_4_class_erm100000_sgd0.05_epochs10,dectrees_1000_4,0.003674157166481018,99.9
saved_models/dectrees_1000_5_mse_erm100000_sgd0.05_epochs10,dectrees_1000_5,0.14910233306884765,None
saved_models/dectrees_1000_5_class_erm100000_sgd0.05_epochs10,dectrees_1000_5,0.3361600311279297,90.16
saved_models/dectrees_100_5_class_erm1000000_sgd0.05_epochs10,dectrees_100_5,4.633553768508136e-06,100.0
